title,price,rating,total_reviews,product_description,reviews,reviews_rating,Shoe Type
T-Rock Men's Sports Shoes,₹336.00,2.9 out of 5 stars,5032 ratings,Flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of T-Rock  Brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. This pair is having classic style which will add glamour to your look. These shoes go well with your casual wear. Team it with your casual attire to complete your perfect casual or party look.,Great looking shoes I like it|| Total Fake|| Feedback|| Disappointed|| Below Average product|| Pathetic Product ... Never Buy|| Product shown in the website is totally different than what i received.|| Don't buy|| Poor quality|| Worst packaging size doesn't fits well,5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 2.0 out of 5 stars,Men
T-Rock Men's Sneaker Casual Shoes (White,₹399.00,3.6 out of 5 stars,27 ratings,Flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of T-Rock  Brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. This pair is having classic style which will add glamour to your look. These shoes go well with your casual wear. Team it with your casual attire to complete your perfect casual or party look.,Average Quality you can buy if you want to try white shoes in budget.|| Product is not very good but good|| Very comfortable|| Superb product|| Nice product|| Best at this price|| Niceee,3.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars,Men
Maddy Mesh Sports Latest Stylish Casual SneakersLace up Lightweight Shoes for Running Walking Gym & Training Shoes for Men's,₹379.00,2.5 out of 5 stars,4 ratings,Make a note to get noticed as you adorn this pair of Extra lite PVC Sole Sports Running Shoes For for men. These comfortable durable and lightweight Sports Shoes will become your favorite in no time. Crafted from a Rich Quality Material this pair of Mens Running Shoes promises to keep your feet at ease all day long. sock liner provides comfort Soft cushion layers provide for good stability and speed. Lace-ups ensure great comfort and provide proper grip to your feet. An all-weather staple this PVC sole footwear can be teamed with your varied outfits. Maddy Believes on Quality you can buy any Casual Sports Shoes from Maddy to looks Better. This adorable lightweight Casual Shoes will be your feet's best friend. Designed as per the latest trend this pair will catch every style-conscious everybody attention. The comfortable upper lining and sole of these Lite Running Shoes will keep your feet super happy whenever you slip these on! This is an excellent pair of Shoes or casuals with the best quality at the best price.,Please don't buy|| This shoes are very light weighted.,1.0 out of 5 stars|| 5.0 out of 5 stars,Men
Kraasa Sneakers for Men,₹416.00,3.5 out of 5 stars,2468 ratings,These are worn usually with casual and informal attires but it also depends upon the choice of the wearer. Our Sneakers are available in eye catching looks and designs.,1 no. Hai Bhai .... love it|| Really awesome|| Excellent sneakers|| Chep And best.|| Kraasa is the Best 👍💖😍✌️as per Quality Fit & Comfort!|| Not worth the price|| Dont Buy. Pathetic|| A complete review of the shoe after it's use.|| Gud for price|| Satisfying at this price...,5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars,Men
AADI Men's Sports Shoes,₹339.00,3.2 out of 5 stars,952 ratings,AADI SHOES,Nice shose but. defctive material send me.|| Bad Quality|| Awesome Shoes|| I dont like thik|| Very very disastrous quality|| Nice Shoes|| Hard top|| Bad quantity|| Very bad quality product Don't buy!!|| Junaid khan,2.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars,Men
FLITE Men Boat Shoes,₹224.00,3.6 out of 5 stars,1977 ratings,Sparx Presents footwear range that Will Keep Your Feet At Great Ease While You walk run or work out in the Gym. These Are Light In Weight Flexible And Very Comfortable To Wear As Well.,Poor Build quality avoid it|| My Views|| Use and throw product.|| Value for money.|| Budget Loafer for Mens|| Awesome product ❤|| Kinda ok for specific purpose|| Good product|| Paisa vasul product...|| Elegance with Economy,1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars,Men
White Walkers Men's & Boys Multicolor Running Casual Sports Shoes,₹499.00,3.6 out of 5 stars,263 ratings,WHITE WALKERS Grip sport is back and packed with even more style and comfort. The grip fusion sport updates the ultra-comfortable grip fusion with a new mesh upper for increased breathability and comfort. Built on the anatomically shaped grip comfort last with more volume for your foot the heather mesh forefoot and sporty upper sits on top a new fusionfoam midsole comprised mixture of super soft eva foam and ultra-responsive rubber that provides a cushioned feel and all-day comfort.,Quality..is Bad..|| Best according to price|| Best for this price|| Wrost product and so high price|| Pasting not good|| Price wise its good|| Before buying just read the comments.|| Attractive|| Must buy.. Value for money|| Review,1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars,Men
Shoefly Men Multicolour Latest Collection Sports Running Shoes - Pack of 2 (Combo-(2)-9064-1200),₹412.00,2.9 out of 5 stars,32 ratings, Shoefly men's canvas casual wear Sports/Shoes they are exclusively designed to match the latest trends of the new generation. This pair of shoes is sure to make you look smart & classy. These will go with most of your casual outfits. This product is made of premium quality and highly material. The perfect combo of good looks & comfort. These shoes are designed to keeping in mind durability as well as trends the most stylish range of shoes. This pair of casual shoes from Shoefly is designed especially for the fashion forward men. ,Quality is not good  and size is not ok delivered.|| On time delivered|| Worthy product|| This quality is very good 👍|| Shoes|| Poor quality|| Bad products|| Very waste|| Quality,1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars,Men
STRANGER BROTHERS White Sneakers Shoes for Men,₹469.00,2.9 out of 5 stars,8 ratings,"""STRANGER BROTHERS"" Shoes Are Designed To Keeping In Mind Durability As Well As Trends The Most Stylish Range Of Shoes. They Are Exclusively Designed To Match The Latest Trends Of The New Generation. This Pair Of Shoes Is Sure To Make You Look Smart & Classy. These Will Go With Most Of Your Casual Outfits. This Product Is Made Of Premium Quality And Highly Material. Wearing This Prime Quality Amazing And Cozy Shoe With The Combination Of Jeans And T-Shirt. It Presents Standard Look To Your Personality. We Are Always Providing Latest Fashion Shoes For Men's Casual Shoes For Men.",It's good product in budget|| Nice quality 🙂|| Good|| Too good,5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men
B.R.K. Men's Denim Casual Shoe,₹365.00,4.0 out of 5 stars,43 ratings,stop stop stop!! Are you looking for branded shoe so BRK trade mark company brought a very stylish comfortable  valuable floatable walkable and With an excellent design this pair of shoes is an elegant choice for all fashion-savvy men.Complete your smart outfit matching these shoes with a slim shirt and a pair of trousers.The sole promises great traction on the surface thus promising ultimate comfort whereas the perforated design is for added appeal. Put On An Unruffled And Spontaneous Look Wearing This Pair Of Modish Shoes Designed To Pull Off A Magnificent Persona. Smart And Stylish These Casual Shoes For Men Are A Must Have In Your Footwear Closet. Team This Trendy Pair With Jeans And A T-Shirt As You Get Ready For An Outing. Buy This Online From Amazon.Com To Complete Your Look.,Looking good but product is not so good|| Wrost product !|| Excellent|| Recommended|| Its nice|| Nice 🙂 product|| Nice colours|| Extra Low quality shoes|| Good product value of money|| Worth it,3.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars,Men
BATA Men's Wonder Rain Shoe,₹419.00,4.0 out of 5 stars,99 ratings,Experience great comfort walking in this pair of Men's Casual Shoes from the house of Bata Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,Buy one size less than your normal size.|| Paisa wasool .........|| Superb!!|| Too much offence to bought this product|| Perfect fit and good matetial|| Foot wear not worth..|| Bata rainy shies|| Go for it|| Buy one size small.|| Very comfortable,5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars,Men
Paragon Men's Flip-Flops,₹132.00,4.2 out of 5 stars,16821 ratings,A part of paragon's paralite range of footwear paralite 1140 are stylish flip-flops for men with thong straps and a light heel. The flip-flops are long-lasting and comfortable. They come in two color options - black body with a red line along the heel or navy blue body with an orange line along the heel.,Low cost but not upto my expectations|| Best product for its price and quality|| Excellent Value for Money|| Classy flip flops in cheap rate|| Cheap decent slippers|| 1 Star Received damaged pair. 5 stars for the Product.|| Very Bad Product after being Amazon's Choice|| Regular user @home|| 😂Extra Lasting / Long Lasting but NOT Everlasting😘|| Good for rough and tough use,3.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men
Aqualite Men's Eal00636g Clog,₹249.00,3.9 out of 5 stars,62 ratings,Update your footwear collection with something stylish in the form of these sneaker from the house of Aqualite.,This is copy not original Aqualite|| Comfort  Light weight|| Does the job|| Very nice product|| Ok bad ok|| Haa thek hi h ok ok|| Unequal sole thickness of the sandal.|| Pathetic|| Good Product|| Value for money,2.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men
Gwal G Men's Synthetic Leather Formal Shoes/Office Wear Shoes (Black),₹399.00,3.6 out of 5 stars,16 ratings, 😎Shree Gwal Baba Traders😎 The pair of shoes you see above has gone through the finest handmade craftsmanship and hard work from the people behind its creation. We hope you will love wearing these as much as we loved creating them. All soles used in our shoes are anti-skin to provide good grip also the insoles are cushioned to provide the maximum comfort for long hours. Wear it in office wedding or that special occasion these shoes are a must have to add that classy quotient to your wardrobe.  ,I like it|| For regular use and economic|| Good|| Comfortable😊|| Rate|| Its not long lasting,5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars,Men
BATA Men's Swift Loafers,₹419.00,3.7 out of 5 stars,26 ratings,Experience great comfort walking in this pair of casual shoes from the house of BATA Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,Cheap price cheap quality. Didn't last 10 days.|| Elegant and lightweight|| Service is good so far.|| Fit,1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars,Men
VON HUETTE Men's Black/Brown Panny Loafer Shoes,₹304.00,5.0 out of 5 stars,1 rating,VON HUETTE is highly fashionable footwear brand catering to all age groups for men women and children. Von Huette shoes are made from high quality synthetic and leather material with best quality tpr and rubber soles for comfortable wearing with memory foam inner sole and comfortable sole. VON HUETTE shoes can be worn for party office casual wear and formal wear. Slip-ons are typically low lace-less shoes. The style most commonly seen known as a loafer or slippers in American culture has a moccasin construction. ... A less casual earlier type of slip-on is made with side gussets (sometimes called a dress loafer).,Value for Money,5.0 out of 5 stars,Men
road runner Men's Multicolor KL-710 Casual Sports Running Shoes,₹389.00,3.8 out of 5 stars,9 ratings,ROAD RUNNER is a pursuit of simple comfortable fashionable and lightweight protection shoes. Very impressed with these mens athletic shoes. Wanted a good running shoe with a sporty look and that is exactly what these shoes are. They are very light in weight which makes it even more comfortable. you wear it to gym and whenever you play racketball.,User review|| Totally worthy product . I Loved it.,1.0 out of 5 stars|| 5.0 out of 5 stars,Men
T-Rock Men's Navy Blue Running Shoes,₹394.00,3.5 out of 5 stars,1614 ratings,Flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of T-Rock Brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. This pair is having classic style which will add glamour to your look. These shoes go well with your casual wear. Team it with your casual attire to complete your perfect casual or party look.,Not Satisfied|| Not worth the money|| बहुत ही खराब सामान|| okay but hard sole|| Pathetic shoe. Uncomfortable.|| Uncomfortable Cheap & Forgettable|| DONT BUY|| It's not comfortable|| Third Class Product Don't Buy Waste Of Money...|| Nice product,1.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 2.0 out of 5 stars|| 4.0 out of 5 stars,Men
Centrino Men Formal Shoes,₹399.00,3.8 out of 5 stars,1759 ratings,Centrino is a value footwear brand for men. Our range consists of basic and updated basic products across both formal and casual footwear. We offer the right blend of quality style and value aimed to delight our customers.,Centrino is a brand you can trust|| I'm not disappointed|| Ok ok|| Very poor quality don't buy.|| Replacement policy|| Very nice pair of shoe|| Centrino Mens Formal Shoes|| Great product at a budget price|| Good looking shoes size is awkwardly long|| Great one,5.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars,Men
Sparx Men's Sd0631g Casual Shoes,₹438.00,4.2 out of 5 stars,981 ratings,The product will be an excellent pick for you. It ensures an easy maintenance.,Great Style Shoes 👟 Must Buy 🙂|| Best at 354|| Good One|| Undoubtedly one of the best from Sparx.|| Such a beauty|| Quality product.|| Nice Sneaker|| not satisfied|| Thank you amazon|| Best IN This Price,5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars,Men
Ethics Men's Stylish Sports Running Shoes,₹499.00,3.7 out of 5 stars,500 ratings,Ethics Introduces A Globally Inspired & Innovative Footwear Line For The Youth That Is Also Cost-Effective. As Each Pair Of Ethics Footwear Is Ultra Light Comfortable Durable Ready To Take On Challenges And Perform With Gusto And Energy. Amazon Presents An Amazing Range Of Ethics Footwear For Men/Boys Who Want To Look Perfect For Every Occasion.,Happy with the product|| Mind blowing|| Good👍|| Must buy|| Durable|| Product r not original air|| Shoes reviews|| Value for money|| Light and strong|| good,5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars,Men
BATA Men's Denim Sneaker,₹489.00,5.0 out of 5 stars,2 ratings,Very trendy and comfortable shoes,Comfy !!!,5.0 out of 5 stars,Men
T-Rock Socks Light Weight Sports Running Shoes,₹449.00,3.4 out of 5 stars,1413 ratings,Flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of T-Rock  Brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. This pair is having classic style which will add glamour to your look. These shoes go well with your casual wear. Team it with your casual attire to complete your perfect casual or party look.,Very bad|| Gd|| Good Shoes|| Quality not as expected|| GOOD PRODUCT|| Nice product|| Quality not as expected|| Okay.... But not value for money 😔😑|| This is|| Bad quality,1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars,Men
Prolific Men's Sneakers & Sports Running Lace Up Shoes,₹498.00,3.2 out of 5 stars,6 ratings,Spruce up your party style with this pair of Casual from Prolific. Made from imported material with featuring panel and stitch detail these shoes is sure to add to your macho quotient. Pair up with rugged jeans & indo western dresses and watch others go gaga over your style. Prolific presents their collection of footwear to match your corporate profile as well as your casual style. Crafted with quality and the latest trends in mind their footwear ensures you never stay out of style even in your formal self.,Average.|| Nice shoes.. Good build quality..,3.0 out of 5 stars|| 5.0 out of 5 stars,Men
Kraasa Men's Sports Shoe,₹416.00,3.4 out of 5 stars,849 ratings,These are worn usually with casual and informal attires but it also depends upon the choice of the wearer. Our Sports shoes are available in eye catching looks and designs.,Waste of money|| Product is so so.|| Comfortable and Adorable|| Wrost quility|| Average as per price Finishing not good|| Kraasa shoes for rough use|| Superb|| It could have been better...overall good...|| Bad quality sole|| Sole Quality - Very Bad - Damaged in 3 Months.,1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars,Men
T-Rock Men's Casual Loafers for Men (Tan,₹395.00,3.7 out of 5 stars,539 ratings,Flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of T-Rock  Brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. This pair is having classic style which will add glamour to your look. These shoes go well with your casual wear. Team it with your casual attire to complete your perfect casual or party look.,Hardly 1 month lasts. Poor performance|| Awesome product!|| Very good product as a price and size to fit or mattel quality also good|| Can buy this item as per price|| Awesome|| Low price and good quality|| Suppar|| Good|| Okh product|| Honest Review 💪,1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 3.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men
ATHLEO by Action Men Fabric Sports Running Shoes (Grey),₹479.00,4.3 out of 5 stars,9 ratings,ATHLEO is a spectacular range of footwear from the house of Action Shoes. Athleo is dedicated to the application of sports science and innovation in the development of high performance comfortable sports shoes the ground breaking materials and innovative with new technology. We make products for a wide range of sports and activities included running trails walking and training or all day comfort wear.,Shoe quality,4.0 out of 5 stars,Men
Stylelure Men's Synthetic Leather Black Formal Shoes for Men,₹499.00,3.8 out of 5 stars,3153 ratings,Stylelure formal shoe is Made From Extremely lightweight material  It is nice affordable shoes for everyday use or wedding .This unique design and stylish shoes is to maximize your fashion at the fairest price possible.,Avg Looking.. Avg Quality|| Excellent|| Quality product|| Nice products|| Quality of product is very bad if it possible I want to return it and return my money back|| True reviews of these shows  should you buy it or not !!|| good shoes with comfort support|| GREAT Product|| Box is open|| Good product - Stylelure Men's Black Formal Shoes,4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars,Men
